"","Rep","MOI","Productive","Productive.Co.Infected","Expressing.HA","Virion.Number","Parent.A.Percent","Parent.B.Percent","Reassortant.Percent","Reassortant.HN.Percent","Parent.A.Number","Parent.B.Number","Reassortant.Number","Reassortant.HN.Number"
"1","1",0.001,0.2,0,0.2,0,50,50,0,0,0,0,0,0
"2","1",0.01,1.977,0.008,1.977,0,49.8245447647951,49.7739630753667,0.401492159838139,0.202326757713708,0,0,0,0
"3","1",0.05,9.512,0.23,9.512,0,48.8323683492087,48.7721503318164,2.39548131897488,1.20257452574526,0,0,0,0
"4","1",0.1,18.111,0.901,18.111,0,47.572253408415,47.5066067456115,4.92113984597356,2.46151816882312,0,0,0,0
"5","1",0.2,32.9,3.328,32.9,0,45.0039435873573,45.0212908288821,9.97476558376066,4.95268828098615,0,0,0,0
"6","1",0.3,45.153,6.712,45.153,0,42.6568753577931,42.7298292471081,14.6132953950988,7.20569569636077,0,0,0,0
"7","1",0.4,54.986,10.789,54.986,0,40.407583570643,40.362278462738,19.230137966619,9.42123072267499,0,0,0,0
"8","1",0.5,63.226,15.474,63.226,0,38.0175409234772,38.0685854329512,23.9138736435717,11.6452924551763,0,0,0,0
"9","1",0.6,69.989,20.441,69.989,0,35.6829717241847,35.8623684974067,28.4546597784086,13.7809200354095,0,0,0,0
"10","1",0.7,75.449,25.281,75.449,0,33.6711177120274,33.7826799035183,32.5462023844543,15.6752680979349,0,0,0,0
"11","1",0.8,79.888,30.146,79.888,0,31.6859020723039,31.7565973438022,36.5575005838938,17.5255907519393,0,0,0,0
"12","1",0.9,83.582,34.989,83.582,0,29.8197466846766,29.7318887092406,40.4483646060828,19.3046667116451,0,0,0,0
"13","1",1,86.635,39.784,86.635,0,27.8868532190192,27.8503533963577,44.2627933846231,21.0420945848098,0,0,0,0
"14","1",1.5,95.082,60.196,95.082,0,19.8852462074495,19.7210016700943,60.3937521224562,28.2941180745801,0,0,0,0
"15","1",2,98.181,74.95,98.181,0,13.912975595503,13.7805829998296,72.3064414046674,33.6077983745038,0,0,0,0
"16","1",5,99.996,98.691,99.996,0,2.95891688388254,2.99418542576064,94.0468976903568,44.3461810386642,0,0,0,0
"17","1",10,100,99.993,100,NA,1.2276260850311,1.20585401047777,97.5665199044911,47.3874729641163,NA,NA,NA,NA
