"MOI","Time","Delta","se"
1,12,3.69677972963957,0.0950624844008316
1,16,5.51807963264891,0.0288265718723906
1,24,6.3227245651732,0.0361897338061401
3,12,4.69650456644583,0.093657997092374
3,16,6.06355333198209,0.0570474724845695
3,24,6.60753335531591,0.02991624409283
6,12,5.3372048918425,0.0285912670975939
6,16,6.2682451937801,0.0966358498513824
6,24,6.67606023335819,0.0483702888227179
10,12,5.57160857836399,0.0194297928127095
10,16,6.33138088393304,0.0974946934362412
10,24,6.47762437548956,0.0633209131306653
20,12,6.02615955279462,0.0483920422564307
20,16,6.36315898716989,0.167020377911253
20,24,6.35419399474272,0.109701262090393
