"MOI","Both","HA","His","Neg","WT_HA","var_HA","Both_HA","WT_Alone","WT_Co","Enrichment","WT_add","WT_amp"
0.1,2.02,34.2,0.93,62.8,2.95,36.22,2.02,0.0145928134316648,0.0557702926559912,282.176424835088,1.47333333333333,1.99774266365689
0.1,0.92,24.3,1.01,73.8,1.93,25.22,0.92,0.0135008688677984,0.0364789849325932,170.197313149237,0.453333333333334,1.30699774266366
0.1,1.22,28.4,0.9,69.5,2.12,29.62,1.22,0.0127840909090909,0.0411883862255233,222.18471003076,0.643333333333334,1.43566591422122
0.3,3.07,72.2,0.3,24.4,3.37,75.27,3.07,0.0121457489878543,0.0407865019263983,235.808865860679,1.89333333333333,2.28216704288939
0.3,2.89,71.4,0.14,25.5,3.03,74.29,2.89,0.00546021840873635,0.0389016018306636,612.455050670153,1.55333333333333,2.05191873589165
0.3,3.26,72.1,0.29,24.4,3.55,75.36,3.26,0.0117456460105306,0.0432590233545648,268.298374698001,2.07333333333333,2.40406320541761
0.6,2.46,79.1,0.17,18.3,2.63,81.56,2.46,0.0092041147807255,0.0301618440411967,227.699564377001,1.15333333333333,1.78103837471783
0.6,2.38,80.2,0.13,17.3,2.51,82.58,2.38,0.00745840504876649,0.0288205376604505,286.416901093578,1.03333333333333,1.69977426636569
0.6,2.16,81.2,0.15,16.5,2.31,83.36,2.16,0.00900900900900901,0.0259117082533589,187.619961612284,0.833333333333333,1.56433408577878
1,2.41,84.2,0.07,13.3,2.48,86.61,2.41,0.00523560209424084,0.027825886156333,431.47442558596,1.00333333333333,1.67945823927765
1,1.98,83.4,0.067,14.5,2.047,85.38,1.98,0.00459943708381959,0.0231904427266339,404.201759998322,0.570333333333334,1.386230248307
1,2.37,84.8,0.099,12.7,2.469,87.17,2.37,0.00773497929525744,0.0271882528392796,251.49742231307,0.992333333333334,1.67200902934537
3,2.35,90.7,0.041,6.89,2.391,93.05,2.35,0.00591545231568316,0.0252552391187534,326.936737395316,0.914333333333333,1.61918735891648
3,2.13,87.8,0.037,10,2.167,89.93,2.13,0.00368636046627478,0.0236850884020905,542.506033221034,0.690333333333333,1.46749435665914
3,1.39,88.2,0,10.4,1.39,89.59,1.39,0,0.0155151244558544,Inf,-0.0866666666666667,0.941309255079007
6,1.8,91,0.075,7.14,1.875,92.8,1.8,0.0103950103950104,0.0193965517241379,86.5948275862069,0.398333333333333,1.26975169300226
6,1.27,90.9,0,7.85,1.27,92.17,1.27,0,0.0137788868395356,Inf,-0.206666666666667,0.860045146726862
6,1.48,92.6,0.057,5.82,1.537,94.08,1.48,0.00969882593159775,0.0157312925170068,62.1979054779807,0.0603333333333333,1.04085778781038
10,0.83,94.6,0,4.57,0.83,95.43,0.83,0,0.00869747458870376,Inf,-0.646666666666667,0.562076749435666
10,1.11,93.8,0.05,4.99,1.16,94.91,1.11,0.00992063492063492,0.0116952902749974,17.8885259719734,-0.316666666666666,0.785553047404063
10,0.42,96.8,0,2.8,0.42,97.22,0.42,0,0.00432009874511417,Inf,-1.05666666666667,0.284424379232506
