"GP","Day","M1","M2","NS","M","M1_Frac","M2_Frac","M_NS"
1,-1,0,0,0,0,0.5,0.5,1
2,-1,0,0,0,0,0.5,0.5,1
3,-1,0,0,0,0,0.5,0.5,1
4,-1,0,0,0,0,0.5,0.5,1
1,0,0,0,0,0,0.725364956227236,0.274635043772764,1.00887807019215
2,0,0,0,0,0,0.725364956227236,0.274635043772764,1.00887807019215
3,0,0,0,0,0,0.725364956227236,0.274635043772764,1.00887807019215
4,0,0,0,0,0,0.725364956227236,0.274635043772764,1.00887807019215
1,1,5.08111574582482,4.78008575016084,5.0019344997772,5.25720700488051,0.666666666666667,0.333333333333333,1.8
2,1,6.32553032333992,5.35732215776377,5.86723592587974,6.36991128507179,0.902857142857143,0.0971428571428571,3.18181818181818
3,1,6.02450032767594,5.42790323204948,5.73965709310523,6.12250843098305,0.797979797979798,0.202020202020202,2.41463414634146
4,1,6.65061970319706,6.15625701407071,6.2167783478249,6.77131182585334,0.757369614512472,0.242630385487528,3.58536585365854
1,2,7.31439395722196,6.51780834348888,6.9503474655558,7.37875469093803,0.862262038073908,0.137737961926092,2.68168168168168
2,2,7.66594933517828,6.85114910598629,7.11809931207799,7.72784613207225,0.867167919799499,0.132832080200501,4.07142857142857
3,2,6.98057144816167,6.37238590419965,6.53849294234873,7.07626324303041,0.802247191011236,0.197752808988764,3.44961240310078
4,2,7.05629216209979,6.49794109865724,7.03535825526415,7.16230297457005,0.783410138248848,0.216589861751152,1.33950617283951
1,3,6.46333297023403,5.78963106806707,6.57403126772772,6.54682898487526,0.825095057034221,0.174904942965779,0.939285714285714
2,3,6.74177045241863,5.89772524802764,6.15217910165027,6.7998941435144,0.874734607218684,0.125265392781316,4.44339622641509
3,3,6.94641717192737,6.37729323869439,6.77131182585334,7.05011725501578,0.787589498806683,0.212410501193317,1.90022675736961
4,3,7.19133122561242,6.51068860236593,6.80173437712331,7.27362125001614,0.827389443651926,0.172610556348074,2.96405919661734
